-5.5,-15.0,-4.41232755631,0
19.5,38.0,14.3851819508,0
16.0,16.0,13.6221755676,0
-6.5,5.0,-3.8364033107,1
10.5,23.0,10.0066582203,0
4.0,-5.0,0.640198219278,1
-12.5,-41.0,-1.62562163419,0
5.0,2.0,10.4501415018,0
5.5,22.0,0.272484906137,0
-10.0,12.0,-2.4467525151,1
4.0,1.0,2.06895210343,1
10.0,-4.0,8.24315386919,1
-4.5,-6.0,-1.62613967324,0
-4.5,-14.0,0.0440332108475,0
12.5,-12.0,11.088534599,1
-4.0,-6.0,1.19366896397,0
13.0,4.0,11.829385048,1
-4.5,-2.0,-0.575292135081,1
11.0,17.0,7.71787224686,0
10.0,17.0,8.22869346383,0
2.5,16.0,5.27167287027,1
11.5,24.0,9.8491348787,0
5.5,-5.0,3.35125493813,1
-9.5,-16.0,-3.40128876424,0
7.0,7.0,5.35135991888,0
-1.0,-11.0,3.95652107495,0
5.0,6.0,5.34110262711,1
5.5,17.0,2.203346404,0
-4.0,10.0,0.742156162041,1
1.5,5.0,3.92611224932,1
9.0,12.0,5.36563658059,0
8.5,18.0,8.82919956638,1
2.5,-5.0,3.61200826627,0
-6.5,-9.0,-3.83118750495,0
12.0,10.0,11.2072464764,1
12.0,10.0,10.8207632642,1
2.0,-5.0,0.923555323428,1
10.0,21.0,7.93663552124,0
10.5,25.0,8.2451004735,0
2.0,-2.0,1.70487734875,1
1.5,1.0,1.33016508842,1
-4.0,-7.0,1.20574029172,0
-3.0,-2.0,0.363077435859,1
5.5,5.0,5.42262818528,1
2.5,-13.0,5.21338989597,0
-8.5,-4.0,-2.15917305196,1
6.5,30.0,9.62523767868,1
-3.5,6.0,-1.10149592495,1
